"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2020","92.61","92.42","94.45","92.27","52.42M","0.47%"
"06/18/2020","92.18","92.27","92.83","91.14","25.44M","-0.19%"
"06/17/2020","92.36","91.14","92.99","90.70","40.83M","1.84%"
"06/16/2020","90.69","92.25","92.67","88.39","53.57M","-1.14%"
"06/15/2020","91.74","88.15","91.82","87.44","40.00M","2.70%"
"06/12/2020","89.33","91.62","91.87","87.03","57.09M","1.56%"
"06/11/2020","87.96","91.50","92.61","87.86","58.37M","-6.10%"
"06/10/2020","93.67","91.68","95.00","91.53","63.22M","3.55%"
"06/09/2020","90.46","88.00","91.10","87.51","46.85M","2.74%"
"06/08/2020","88.05","88.77","88.90","86.86","38.77M","-1.29%"
"06/05/2020","89.20","87.94","89.97","87.08","48.17M","1.75%"
"06/04/2020","87.67","87.28","89.43","86.78","42.43M","-0.02%"
"06/03/2020","87.69","88.22","88.66","87.00","36.54M","-0.63%"
"06/02/2020","88.25","87.96","88.37","86.58","39.13M","0.22%"
"06/01/2020","88.06","88.33","88.41","86.89","39.05M","-0.78%"
"05/29/2020","88.75","85.55","88.75","84.85","74.59M","4.57%"
"05/28/2020","84.87","84.12","87.61","83.79","73.61M","-0.45%"
"05/27/2020","85.25","86.25","86.33","79.97","117.59M","-2.21%"
"05/26/2020","87.18","91.57","91.82","86.72","77.08M","-3.41%"
"05/22/2020","90.26","88.25","90.93","87.13","103.88M","2.86%"
"05/21/2020","87.75","90.52","90.52","87.38","76.11M","-2.17%"
"05/20/2020","89.70","89.91","90.43","88.89","58.75M","1.86%"
"05/19/2020","88.06","87.90","90.88","87.63","71.73M","0.64%"
"05/18/2020","87.50","87.61","89.17","86.81","77.64M","3.05%"
"05/15/2020","84.91","78.90","85.00","78.74","98.77M","5.73%"
"05/14/2020","80.31","78.42","80.36","76.88","60.23M","3.23%"
"05/13/2020","77.80","79.17","80.78","75.95","62.59M","-0.29%"
"05/12/2020","78.03","81.23","81.72","77.93","49.31M","-3.26%"
"05/11/2020","80.66","78.08","81.12","77.79","46.91M","3.25%"
"05/08/2020","78.12","76.94","78.19","76.60","33.99M","2.49%"
"05/07/2020","76.22","75.84","76.85","75.33","37.37M","2.38%"
"05/06/2020","74.45","74.23","75.50","73.85","32.35M","1.38%"
"05/05/2020","73.44","73.87","75.07","72.82","36.89M","0.85%"
"05/04/2020","72.82","70.22","72.96","70.22","31.76M","3.01%"
"05/01/2020","70.69","71.09","72.22","70.21","34.21M","-3.26%"
"04/30/2020","73.07","74.07","74.61","72.93","37.59M","-2.06%"
"04/29/2020","74.61","74.19","75.14","73.44","37.92M","2.43%"
"04/28/2020","72.84","75.75","76.05","72.78","44.29M","-1.93%"
"04/27/2020","74.27","73.75","75.88","73.50","47.94M","2.58%"
"04/24/2020","72.40","70.90","72.42","70.15","35.26M","1.97%"
"04/23/2020","71.00","71.96","73.28","70.75","42.42M","-0.75%"
"04/22/2020","71.54","69.31","71.97","68.85","48.47M","6.17%"
"04/21/2020","67.38","70.58","71.19","66.78","73.52M","-6.10%"
"04/20/2020","71.76","71.81","73.38","71.32","44.94M","-1.81%"
"04/17/2020","73.08","74.50","74.72","71.73","53.91M","-0.80%"
"04/16/2020","73.67","71.77","74.75","71.64","74.56M","4.93%"
"04/15/2020","70.21","69.30","71.04","68.84","36.61M","-1.10%"
"04/14/2020","70.99","68.75","71.33","68.47","53.09M","5.23%"
"04/13/2020","67.46","65.14","67.55","64.25","39.84M","2.62%"
"04/09/2020","65.74","68.00","68.23","65.11","52.62M","-1.50%"
"04/08/2020","66.74","65.85","66.99","65.15","54.24M","3.06%"
"04/07/2020","64.76","69.33","69.56","64.33","78.45M","-3.49%"
"04/06/2020","67.10","63.81","67.47","63.23","72.79M","10.04%"
"04/03/2020","60.98","63.49","63.91","59.60","66.32M","-4.52%"
"04/02/2020","63.87","61.06","64.00","60.58","67.58M","5.10%"
"04/01/2020","60.77","63.91","65.38","60.32","65.69M","-7.78%"
"03/31/2020","65.90","66.80","68.85","64.44","95.00M","-0.75%"
"03/30/2020","66.40","63.84","66.49","63.40","60.23M","5.10%"
"03/27/2020","63.18","62.50","65.78","62.17","63.88M","-1.76%"
"03/26/2020","64.31","63.48","65.56","62.50","69.76M","4.72%"
"03/25/2020","61.41","63.45","65.45","60.91","79.34M","-1.43%"
"03/24/2020","62.30","57.25","63.16","57.01","110.16M","17.17%"
"03/23/2020","53.17","51.43","54.12","49.63","64.39M","3.36%"
"03/20/2020","51.44","54.75","57.58","51.28","80.46M","-3.38%"
"03/19/2020","53.24","50.49","54.18","48.35","76.55M","5.01%"
"03/18/2020","50.70","50.02","52.48","45.17","87.43M","-6.66%"
"03/17/2020","54.32","50.23","55.22","47.75","83.36M","10.63%"
"03/16/2020","49.10","53.10","56.52","48.50","72.70M","-18.45%"
"03/13/2020","60.21","57.62","60.26","54.90","63.48M","11.34%"
"03/12/2020","54.08","56.37","59.03","53.95","81.65M","-12.24%"
