sym,name,sector,lunes,martes,miercoles,jueves,viernes
BF-B,Brown–Forman,Consumer Staples,25.91214876033058,26.127422334172962,25.97525167785235,26.024918872758327,25.97696735395189
BG,Bunge Limited,Consumer Staples,50.80285714285714,51.09761045987376,51.113594594594595,51.080733944954126,51.05228782287823
CHRW,C.H. Robinson,Industrials,46.8960422405877,47.15879932829555,46.991828859060405,47.04631084543126,46.98929553264605
CDNS,Cadence Design Systems,Information Technology,35.11774104683196,35.530789252728795,35.38123322147651,35.45614005123826,35.35268041237113
CZR,Caesars Entertainment,Consumer Discretionary,39.453680203045685,39.772718894009216,39.615648148148146,39.860353773584905,39.72128266033254
CPT,Camden Property Trust,Real Estate,48.89783287419651,49.25256926952141,49.10330536912752,49.18545687446627,49.15597079037801
CPB,Campbell Soup Company,Consumer Staples,28.610615243342515,28.74639798488665,28.685268456375837,28.699009393680615,28.658101374570446
COF,Capital One,Financials,60.38200183654729,60.736238455079764,60.57765939597316,60.66735269000854,60.690171821305846
CAH,Cardinal Health,Health Care,39.01683195592287,39.19131821998321,39.12468959731543,39.104269854824935,39.082525773195876
KMX,CarMax,Consumer Discretionary,41.55219467401285,41.73136859781696,41.60174496644295,41.560990606319386,41.556280068728526
CCL,Carnival,Consumer Discretionary,30.204132231404962,30.26360201511335,30.256795302013423,30.30376601195559,30.32422680412371
CARR,Carrier Global,Industrials,38.9689552238806,39.11533333333333,39.10523489932886,38.83210884353741,39.26888111888112
CTLT,Catalent,Health Care,55.838699999999996,56.0090022675737,56.02116173120729,56.101157407407406,55.78668997668998
CAT,Caterpillar Inc.,Industrials,70.9226170798898,71.67053736356003,71.37287751677853,71.47024765157985,71.38025773195876
CBOE,Cboe Global Markets,Financials,73.05590909090908,73.25871559633028,72.9919018404908,73.0597663551402,73.22343260188089
CBRE,CBRE Group,Real Estate,33.852858769931665,34.07066458982347,33.92336099585062,34.040991561181436,34.00068085106383
CDW,CDW,Information Technology,85.80081677704193,86.63327309236948,86.49554655870446,86.6288295687885,86.43694214876034
CE,Celanese,Materials,58.639599528857474,58.99091299677766,58.68845493562232,58.87058951965066,58.78285714285715
CNC,Centene Corporation,Health Care,25.177331995987963,25.43359303391384,25.307380952380953,25.392488350419384,25.356491557223265
CNP,CenterPoint Energy,Utilities,13.758879706152433,13.817531486146096,13.776744966442953,13.81198121263877,13.834226804123713
CDAY,Ceridian,Information Technology,67.34768888888888,67.647004048583,67.62352459016394,67.07843621399176,66.84240663900415
CF,CF Industries,Materials,30.352831105710816,30.596042128603106,30.396777408637874,30.413795045045045,30.450725623582766
CRL,Charles River Laboratories,Health Care,83.60139643861294,84.34104631217839,84.0288089117395,84.31676265270505,83.93597721297108
SCHW,Charles Schwab Corporation,Financials,25.360725436179983,25.605994962216627,25.529270134228188,25.56776259607173,25.54741408934708
CHTR,Charter Communications,Communication Services,276.21737785016285,276.5409748892171,275.5864888888889,276.05206015037595,275.4270303030303
CVX,Chevron Corporation,Energy,60.83201101928375,61.31428211586901,61.083062080536905,61.15606319385141,61.21390893470791
CMG,Chipotle Mexican Grill,Consumer Discretionary,525.7288667496887,531.1972095671982,527.5820591581343,527.4984624277456,526.8586363636364
CB,Chubb Limited,Financials,73.32097337006428,73.94346767422334,73.69192953020134,73.7696925704526,73.83884879725086
CHD,Church & Dwight,Consumer Staples,29.448393021120292,29.64521410579345,29.496006711409393,29.574935952177626,29.486365979381443
CI,Cigna,Health Care,87.41277318640955,88.36650713685978,88.02428691275168,88.18871050384287,88.11828178694158
CINF,Cincinnati Financial,Financials,40.95080808080808,41.26094038623006,41.081694630872484,41.16583262169087,41.16668384879725
CTAS,Cintas,Industrials,97.61469237832874,98.84408900083963,98.18026845637584,98.35334756618275,98.31982817869415
CSCO,Cisco,Information Technology,23.755445362718092,23.844458438287155,23.792172818791947,23.83905209222886,23.794682130584192
C,Citigroup,Financials,139.10898071625343,138.95693534844668,139.4290855704698,139.57812126387705,139.78343642611685
CFG,Citizens Financial Group,Financials,29.576590330788804,29.809006928406465,29.705046296296295,29.74318396226415,29.816104513064133
CLX,Clorox,Consumer Staples,72.83229568411386,73.08564231738035,72.82799496644296,72.95124679760889,72.73692439862543
CME,CME Group,Financials,78.05525263157895,78.21936660268715,78.08151777137368,78.41259042033236,78.38163385826772
CMS,CMS Energy,Utilities,23.76245179063361,23.907262804366077,23.799421140939597,23.888334756618278,23.858015463917525
KO,Coca-Cola Company (The),Consumer Staples,26.833342516069788,26.97573467674223,26.898842281879194,26.92257899231426,26.915687285223367
CTSH,Cognizant,Information Technology,33.50279155188246,33.68465155331654,33.58761744966443,33.676464560204955,33.55042096219931
CL,Colgate-Palmolive,Consumer Staples,40.3848668503214,40.5608564231738,40.45597315436241,40.49555935098207,40.43556701030928
CMCSA,Comcast,Communication Services,19.14364554637282,19.25693534844668,19.17685402684564,19.234696840307432,19.208462199312716
CMA,Comerica,Financials,37.76753902662993,38.01240973971453,37.89746644295302,37.97476515798463,38.009218213058425
CAG,Conagra Brands,Consumer Staples,18.220927456382,18.32373635600336,18.252021812080535,18.275388556789068,18.258436426116837
COP,ConocoPhillips,Energy,35.94473829201102,36.19460117548279,36.078288590604025,36.12475661827497,36.22233676975945
ED,Consolidated Edison,Utilities,39.937300275482094,40.164164567590255,40.025159395973155,40.10058923996584,40.10742268041237
STZ,Constellation Brands,Consumer Staples,77.22641873278238,78.10808564231738,77.65165268456376,77.82445772843724,77.65937285223367
CEG,Constellation Energy,Utilities,70.0154347826087,70.0375925925926,69.59277777777777,69.40528301886792,70.21584905660377
COO,CooperCompanies,Health Care,130.41668503213955,131.27619647355164,130.65895973154363,131.09903501280957,130.87724226804121
CPRT,Copart,Industrials,14.654747474747476,14.841872376154491,14.729731543624162,14.78798462852263,14.74463058419244
GLW,Corning Inc.,Information Technology,18.637474747474748,18.694172963895884,18.693859060402687,18.74131511528608,18.740927835051544
CTVA,Corteva,Materials,40.358843930635835,40.92300518134715,40.98957894736842,40.92267379679144,40.90543010752688
CSGP,CoStar Group,Industrials,20.548383838383838,20.715978169605375,20.549010067114093,20.630777113578137,20.58
COST,Costco,Consumer Staples,122.35759412304868,123.60067170445004,122.88345637583892,123.1196242527754,122.72585051546393
CTRA,Coterra,Energy,12.214830119375575,12.276490344248531,12.236140939597314,12.244722459436378,12.260060137457046
CCI,Crown Castle,Real Estate,55.1932782369146,55.58362720403023,55.34794463087248,55.55544833475662,55.36122852233677
CSX,CSX,Industrials,9.56492194674013,9.637909319899244,9.58959731543624,9.618855678906918,9.603737113402062
CMI,Cummins,Industrials,78.8258769513315,79.50330814441647,79.14662751677852,79.24560204953032,79.1355326460481
CVS,CVS Health,Health Care,42.16835629017447,42.438186397984886,42.331459731543625,42.35132365499573,42.278522336769754
DHI,D.R. Horton,Consumer Discretionary,26.188135904499543,26.531704450041982,26.43672818791946,26.462288642186166,26.410962199312717
DHR,Danaher Corporation,Health Care,68.19155188246098,68.92114189756508,68.56479026845638,68.77017079419299,68.60695876288659
DRI,Darden Restaurants,Consumer Discretionary,44.64040404040404,45.00335852225021,44.75778523489933,44.92327924850555,44.93150343642611
DVA,DaVita Inc.,Health Care,45.7979797979798,46.04489504617968,45.95018456375839,46.00716481639624,45.80661512027491
DE,John Deere,Industrials,88.81685032139578,90.04408900083962,89.50590604026846,89.64970111016225,89.47476804123711
DAL,Delta Air Lines,Industrials,28.905913978494624,29.057923832923834,28.926777367773678,28.951725,29.03008816120907
XRAY,Dentsply Sirona,Health Care,35.04681359044996,35.13110831234257,35.10790268456376,35.12031596925704,35.08508591065292
DVN,Devon Energy,Energy,35.33282828282828,35.52722921914358,35.54057046979866,35.49605465414176,35.50991408934708
DXCM,Dexcom,Health Care,25.986050119331743,26.19677910772579,25.980141304347825,26.030220994475137,25.926284760845384
FANG,Diamondback Energy,Energy,73.2409670781893,74.3456015037594,74.00058380414312,74.13013409961685,74.14582692307692
DLR,Digital Realty,Real Estate,60.05897674418605,60.35281018027571,60.08809322033898,60.26966558791802,60.10705754614549
DFS,Discover Financial,Financials,47.490067658998655,48.00331683168317,47.769615861214376,47.78394206549118,47.9396192893401
DISH,Dish Network,Communication Services,32.20457300275482,32.18052896725441,32.14640939597315,32.16597779675491,32.18668384879725
DIS,Disney,Communication Services,61.37586776859505,61.599345088161215,61.33610738255034,61.489624252775414,61.28195017182131
DG,Dollar General,Consumer Staples,98.0650803858521,98.67976608187135,98.29428152492669,98.36423248882265,98.23815315315315
DLTR,Dollar Tree,Consumer Staples,48.029127640036734,48.42501259445844,48.15231543624161,48.1733561058924,48.15242268041237
D,Dominion Energy,Utilities,37.289485766758496,37.43445843828716,37.3109899328859,37.38711357813834,37.35517182130584
DPZ,Domino's,Consumer Discretionary,126.61656750572082,127.25714285714287,126.59227083333333,127.28215270413574,126.90019230769231
DOV,Dover Corporation,Industrials,47.460422405876955,47.89445843828715,47.626979865771816,47.70927412467976,47.64762027491409
DOW,Dow Inc.,Materials,47.646758241758235,48.057722772277224,47.95455,47.886142131979696,47.906701030927834
DTE,DTE Energy,Utilities,44.59613406795225,44.910142737195635,44.70811241610738,44.81824081981213,44.798058419243986
DUK,Duke Energy,Utilities,44.17214876033058,44.38356003358522,44.2569966442953,44.344619982920584,44.3120704467354
DD,DuPont,Materials,44.52934802571166,44.742174643157014,44.67828020134228,44.728531169940226,44.69098797250859
DXC,DXC Technology,Information Technology,24.01245179063361,24.134769101595296,24.10561241610738,24.187574722459438,24.202405498281784
EMN,Eastman Chemical Company,Materials,41.941781450872355,42.21536523929471,42.0685067114094,42.13801878736123,42.07204467353952
ETN,Eaton Corporation,Industrials,46.66317722681359,47.07426532325776,46.872835570469796,46.93713065755764,46.88736254295532
EBAY,eBay,Consumer Discretionary,21.367777777777775,21.495717884130983,21.429605704697988,21.44787361229718,21.40310996563574
ECL,Ecolab,Materials,78.37763085399449,78.7141141897565,78.40459731543623,78.57571306575576,78.40073883161513
EIX,Edison International,Utilities,33.22351698806244,33.34077246011755,33.25714765100671,33.28448334756618,33.28175257731959
EW,Edwards Lifesciences,Health Care,25.45379981464319,25.739966072943172,25.612533898305085,25.747342536669542,25.601727430555556
EA,Electronic Arts,Communication Services,57.525426997245184,57.88077246011755,57.76620805369128,57.967830913748934,57.77381443298969
ELV,Elevance Health,Health Care,129.61701894317048,131.12482695810564,130.49826205641492,130.99266233766232,130.79757462686567
LLY,Eli Lilly and Company,Health Care,69.04022956841139,69.94242653232577,69.72171979865772,69.82123825789922,69.73092783505155
EMR,Emerson Electric,Industrials,39.84620752984389,40.09970612930311,39.96508389261745,40.03511528608028,40.00649484536082
ENPH,Enphase,Information Technology,49.2076171875,50.894285714285715,50.91268817204301,50.28409090909091,50.05179159049361
ETR,Entergy,Utilities,51.598411386593206,51.78669185558354,51.6416610738255,51.68759180187873,51.69247422680412
EOG,EOG Resources,Energy,45.51169880624426,45.95945424013434,45.80344798657718,45.82535439795047,45.90014604810996
EPAM,EPAM Systems,Information Technology,160.19146718146717,162.5632098765432,161.9975441696113,161.8932258064516,161.3153429602888
EQT,EQT,Energy,22.41910927456382,22.508841309823676,22.493372483221474,22.482852263023055,22.487525773195877
EFX,Equifax,Industrials,69.89570247933884,70.56321578505457,70.22883389261746,70.35157130657558,70.14402920962199
