sym,name,years_in,sector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
APA,APA Corporation,26,Energy,17.516626984126983,18.12258064516129,20.110833333333336,25.554404761904763,35.51539682539682,50.48674603174603,53.49155378486056,65.93306772908367,87.22154150197628,66.78988095238095,82.31869047619048,91.71142857142857,74.32196,69.28246031746032,72.55432539682539,46.67325396825397,46.98904761904762,42.7702390438247,37.377370517928284,25.842976190476193,14.224545454545455,20.637023809523807,38.96063745019921,44.059000000000005
AAPL,Apple Inc.,41,Information Technology,0.6947619047619048,0.3073790322580645,0.29099206349206347,0.28194444444444444,0.5397619047619048,1.4185317460317461,2.152589641434263,3.8989641434262947,4.315652173913043,4.462539682539682,7.898611111111111,11.064444444444444,17.55272,14.69138888888889,20.56126984126984,27.208095238095236,24.201031746031745,35.48832669322709,45.24306772908366,50.625079365079365,93.77332015810278,139.58757936507936,154.14649402390438,135.571
AMAT,Applied Materials,28,Information Technology,27.64392857142857,16.4983064516129,14.02345238095238,13.0165873015873,13.90345238095238,12.632579365079364,13.194581673306773,14.791354581673307,12.824940711462451,9.281626984126984,10.054801587301586,10.697341269841269,9.61648,13.228928571428572,18.516547619047618,17.660873015873015,22.767301587301585,41.47581673306773,43.642749003984065,44.444206349206354,60.32134387351778,129.5636111111111,108.92302788844621,108.085
APTV,Aptiv,11,Consumer Discretionary,,,,,,,,,,,,16.162666666666667,23.0652,38.84753968253968,52.702103174603174,63.75972222222222,54.975833333333334,72.27944223107569,85.73569721115538,82.27742063492063,85.67395256916996,153.76325396825396,106.39286852589642,102.647
ACGL,Arch Capital Group,1,Financials,1.685515873015873,1.9696370967741936,3.1034126984126984,3.8328174603174605,4.408333333333334,4.971388888888889,6.682549800796813,7.754621513944223,7.59600790513834,6.914285714285715,8.751984126984127,11.034404761904762,13.244639999999999,17.64309523809524,18.74936507936508,22.34563492063492,24.77107142857143,31.633306772908366,28.404063745019922,36.445079365079366,32.83,39.34718253968254,48.46633466135458,63.499
ANET,Arista Networks,5,Information Technology,,,,,,,,,,,,,,,18.451241379310343,17.734960317460317,18.54095238095238,39.8391235059761,64.55139442231075,61.759206349206345,56.12928853754941,92.57277777777777,118.63326693227091,117.78099999999999
AJG,Arthur J. Gallagher & Co.,7,Financials,10.555238095238096,14.575846774193549,15.636031746031746,14.165,16.790873015873018,15.922777777777778,15.948964143426295,16.91764940239044,15.642885375494071,14.336309523809524,17.990357142857142,21.510158730158732,27.13652,34.21960317460317,38.04555555555555,38.804880952380955,40.876865079365075,52.96063745019921,65.18776892430279,81.00059523809524,96.92339920948616,139.39428571428573,171.0710358565737,193.0205
AIZ,Assurant,16,Financials,,,,,18.783013100436683,26.322936507936507,36.262868525896415,41.92621513944223,40.17051383399209,20.297539682539682,27.7168253968254,29.336984126984127,30.08616,42.03940476190476,55.17166666666667,60.61484126984127,72.75714285714285,87.75490039840638,88.48390438247012,103.33555555555556,111.88158102766799,148.19456349206348,157.7746613545817,127.6865
T,AT&T,40,Communication Services,7.353769841269842,7.0862096774193555,5.209642857142857,4.309722222222222,4.94,5.017142857142857,6.571075697211155,9.290358565737053,8.268893280632412,6.916150793650793,7.831785714285714,9.320238095238095,11.57416,12.935198412698414,13.530753968253968,14.217301587301588,17.728531746031745,18.528685258964142,17.15756972111554,19.031626984126984,18.83438735177866,18.62980158730159,17.913505976095617,19.404500000000002
ATO,Atmos Energy,4,Utilities,8.31468253968254,9.98991935483871,10.493531746031746,11.745357142857143,13.307936507936507,15.14424603174603,16.187051792828683,17.813147410358567,16.343320158102767,17.150515873015873,20.02111111111111,24.027380952380952,25.63244,32.83293650793651,40.319404761904764,46.88559523809524,62.434761904761906,72.84366533864541,79.61,95.73765873015873,94.81877470355732,91.55388888888889,110.01868525896414,113.2335
ADSK,Autodesk,34,Information Technology,7.7,8.611774193548387,7.770833333333333,8.501626984126984,20.72230158730159,37.099920634920636,37.243864541832664,44.65091633466135,32.55695652173913,20.817738095238095,30.404047619047617,36.55694444444445,34.75452,39.150079365079364,53.83,56.123531746031745,61.72519841269841,102.4606374501992,132.06470119521913,158.8931746031746,220.70383399209487,292.88626984126984,206.29179282868526,199.663
AZO,AutoZone,26,Consumer Discretionary,25.094563492063493,42.347338709677416,73.90686507936508,80.91103174603175,83.06924603174603,90.43059523809524,98.36458167330677,125.06019920318725,120.52608695652174,150.38611111111112,203.03630952380954,293.6036507936508,370.00384,415.1742857142857,534.7135714285714,696.8779761904761,768.8588492063492,640.4347808764941,724.4301195219123,1058.3318253968255,1108.8463636363635,1542.3093253968254,2152.8414741035854,2392.3720000000003
AVB,AvalonBay Communities,16,Real Estate,16.811587301587302,19.956048387096775,19.870238095238097,20.624484126984125,29.466547619047617,41.71714285714285,61.864382470119516,67.86617529880478,51.42486166007905,38.73730158730159,65.19134920634922,84.92079365079366,97.01056,94.1379365079365,107.0493253968254,133.01503968253968,140.41944444444442,151.79003984063746,146.1248605577689,179.25452380952382,151.90671936758895,197.83305555555555,201.28318725099604,167.137
